title_de,title_ru
"Bogo Art Ausstellung","Художественная выставка в Бого"
"Qi-Gong am Vormittag in Seeon","Ци-Гун по утрам в Сионе"
"Workshop Gemeinschaftsprojekte nah&fern","Мастерская Общественные проекты вблизи и вдали"
Monatstreffen,"Ежемесячное собрание"
"Für Unternehmer: ""Führungsaufgaben im Mittelstand"" im Patch.Work Seeon","Для предпринимателей: ""Управленческие задачи в среднем бизнесе"" на Patch.Work Seeon"
"Yoga im Sitzen in Seeon","Сидячая йога в Сионе"
"TSV Grabenstätt: Skigymnastik - Fit in den Winter","TSV Grabenstätt: Лыжная гимнастика - в форме для зимы"
"Vortragsabend ""Hormone, Zyklus und Menopause""","Лекционный вечер ""Гормоны, цикл и менопауза"""
"Vorlesestunde mit Bürgermeister Martin Bartlweber","Время чтения с мэром Мартином Бартлвебером"
"Demokratiefest Traunstein","Фестиваль демократии в Траунштайне"
"""Cafe am Platzl"": LautStaad - Live Musik","""Кафе на площади"": LautStaad - живая музыка"
"Sri Lanka Hilfe Adventsbasar","Базар помощи Шри-Ланке Адвент"
"Adventskranzverkauf Seeon","Продажа адвентных венков Seeon"
"Generalversammlung GTEV ""Eschenwald"" Rettenbach e.V.","Общее собрание GTEV ""Eschenwald"" Rettenbach e.V."
"Bergen. Vortrag zum Thema ""Schockanrufe""","Лекция на тему ""Шоковые вызовы"""
"Adventskranzverkauf Seebruck","Продажа Адвентский венок Зеебрук"
"Weihnachtsmarkt Pädagogisches Zentrum Achental","Рождественский рынок образовательного центра Achental"
"Bilderausstellung ""Momente im Licht""","Выставка картин ""Мгновения в свете"""
"Fremdenverkehrsverein Grabenstätt e. V. und SK Confiserie & Weinbar ""Am Platzl"": Advent auf dem Marktplatz","Туристический офис Грабенштетта и SK Confiserie & Weinbar ""Am Platzl"": адвент на рыночной площади"
"11 Energiestammtisch: Vorstellung von Energiesparlösungen und Ausblick 2026","11 Круглый стол по энергетике: презентация энергосберегающих решений и прогноз на 2026 год"
"Gemeindebücherei: Unsere weihnachtlichen Bücher","Библиотека сообщества: наши рождественские книги"
"Marquartsteiner Sternenzeit","Марквартштайнер Штерненцайт"
"Abgesagt: Christian Maier - Beste Zeiten","Отменено: Кристиан Майер - Лучшее время"
"Ottinger Stadl Advent","Оттингер Штадль Адвент"
"Traditionelle griechische Tänze - Workshop für Anfänger/innen","Традиционные греческие танцы - мастер-класс для начинающих"
"Gemütliche Adventsmusi auf der Hutzenalm zum Mitsingen und Mitspielen","Уютная адвент-музыка в Хутценальме, где можно петь и играть вместе с вами"
"Freiwillige Feuerwehr Wolkersdorf: Adventsumtrunk","Волькерсдорфская добровольная пожарная команда: адвентный напиток"
"Die ""Besondere Kirchenmusik"" - Vorabendgottesdienst","""Особая церковная музыка"" - канун службы"
"Grün-Ober-Verein Kraimoos: Weihnachtsfeier","Grün-Ober-Verein Kraimoos: Рождественская вечеринка"
"""Voix Nouvelles"" Konzert mit dem Musikkollegium Traunstein","Концерт ""Voix Nouvelles"" с Музикколлегиумом Траунштайна"
"Pfarrei Grabenstätt: Familiengottesdienst zum 1. Advent","Приход Грабенштетт: Семейное богослужение на 1-й Адвент"
"„A bissal staade Zeit“ – Ein Konzert zum Advent","""A bissal staade Zeit"" - концерт к Адвенту"
Advents-Rund-Gang,Адвент-тур
"Stammtisch des Heimat- und Geschichtsvereins Achental e.V.","Стол завсегдатаев краеведческой ассоциации ""Ахенталь""."
"Bergen. Musikanten - Montag in der Gaststätte Hochfellnblick","Берген. музыканты - Понедельник в ресторане Hochfellnblick"
"Musik der italienischen und französischen Romantik","Музыка итальянского и французского романтизма"
"TSV Glühweinhütte","Хижина для глинтвейна TSV"
"Soulfulflow Yoga - Power Pilates mit Weights","Soulfulflow Yoga - Силовой пилатес с утяжелителями"
"Einladung zur Senioren-Adventsfeier","Приглашение на адвент-вечеринку для пожилых людей"
"GTEV Chiemgauer Grabenstätt: Adventsingen","GTEV Chiemgauer Grabenstätt: Адвентское пение"
Laternen-Alpakawanderung,"Поход за альпаками"
"Siegsdorfer Christkindlmarkt 2025","Рождественский рынок Зигсдорфа 2025"
"ZSG Grabenstätt: Nikolausschießen","ZSG Grabenstätt: Nikolauschießen"
"""Cafe am Platzl"": Störer meets Kulinarik","""Кафе на площади"": Штёрер встречает кулинарные изыски"
"Festgottesdienst zum Patrozinium","Праздничная служба на покровский праздник"
"Jagdgenossenschaft Grabenstätt: Rehessen","Охотничий кооператив ""Грабенштетт"": ужин из оленя"
"TSV Grabenstätt und GTEV Chiemgauer Grabenstätt: ""Der Nikolaus kommt""","TSV Grabenstätt и GTEV Chiemgauer Grabenstätt: ""Святой Николай идет"""
Adventskonzert,"Адвентский концерт"
Adventsabend,"Адвентский вечер"
"Workshop ""Zukunftsfähigkeit"" im Patch.Work Seeon","Семинар ""Устойчивое развитие"" в Patch.Work Seeon"
"Konzert CHG-Bigband | Programm Christkindlmarkt","Концерт CHG-Bigband | Программа рождественского базара"
"Weihnachtsfeier des Frauenclub Taching","Рождественская вечеринка женского клуба ""Тачинг"
Soulkraut,Сулкраут
"Christbaumverkauf Seeon","Продажа рождественских елок Seeon"
Weihnachtsmarkt,"Рождественский рынок"
"Sternsinger-Probe Waging","Штернзингер репетиция Вейджинг"
"Krampuslauf in Reit im Winkl – Gänsehaut garantiert!","Забег Крампуса в Райт-им-Винкль - мурашки по коже гарантированы!"
"Nikolaus und Krampein im Steinbruch","Святой Николай и Крампейн в каменоломне"
"Treffpunkt Grün: Kräuterlehrgang - Mit Räuchern, Mythen und Sagen auf die stade Zeit einstimmen","Treffpunkt Grün: Травяной курс - создайте праздничное настроение с помощью благовоний, мифов и легенд"
"Nikolaus und Christkindl begrüßen die Marktbesucher | Programm Christkindlmarkt","Святой Николай и Кристкиндл приветствуют посетителей рынка | Программа рождественского рынка"
"Internationaler Deutschlandcup","Международный кубок Германии"
"Adventszauber in Taching","Адвентное волшебство в Тачинге"
"Wine & Dine mit Weingut Scheiblhofer - Burgenland","Вино и ужин с Weingut Scheiblhofer - Бургенланд"
"Freie Wähler: Aufstellungsversammlung für die Kommunalwahl am 08.03.2026","Freie Wähler: собрание по выдвижению кандидатов на местные выборы 8 марта 2026 года"
